summary,letter
"괜찮냐고 물어봐줘서 고맙다고 한다.
가을이 와서 서울숲에서 나들이 한 것 생각 난다고 한다.
","세정이에게,
세정아 안녕! 생일 진심으로 축하해.
항상 내 고민 들어준 세정아. 너는 진짜 보석 같은 친구야. 내가 문제 있으면 괜찮냐고 물어보고 좋은 말 많이 해 주는 너는 참 착한 친구야. 항상 내 얘기 잘 듣고 공감해 줘서 고마워. 너도 고민이나 문제 있으면 나한테 얘기할 수 있는 것 알지? 혼자 고생하지 마. 나한테 털어놓고 얘기해. 너처럼 위로를 잘하는 친구는 되기 어렵겠지만 최대한 공감하고 도와줄게. 
시원한 바람을 맞고 나무들이 갈색으로 변하는걸 보니까 네가 좋아하는 계절 가을이 오고 있는 것 같아. 작년에 우리 서울숲에서 가을 나들이 했는데 올해는 어디로 갈까? 너랑 소풍 가는 것 생각만 해도 설레. 
생일 다시 한번 축하하고 앞으로의 일이 잘되길 바라. 얼른 만나자. 사랑해.
하님이가"
"사진 보니까 행복해 보인다고 했다.
기회 되면 나도 벤쿠버에 가고 싶다고 했다.
","혜인이에게,
혜인이 안녕? 나 하님이야. 5월 14일은 무슨 날? 바로 너의 생일!  벤쿠버에서 맞이하는 첫 번째 생일을 진심으로 축하해! 
오늘 하루 외국인 친구들과 즐겁게 보냈으려나? 나도 너 많이 보고 싶어하고 애들도 보고 싶다고 해. 한국에 우리랑 가족들과 있을 때만큼이나 행복한 시간이 되었으면 바라.밴쿠버 대학에서 찍은 사진을 보니까 네가 엄청나게 행복해 보이더라. 네가 원하는 대학에 가서 너무 뿌듯하고 자랑스러워. 나중에 나도 기회가 생기면 밴쿠버에 가고 싶어. 너랑 밴쿠버 대학도 가고 싶고 밴쿠버 도시도 너랑 구경하고 싶어! 
맞다! 전에 네가 밴쿠버에서 에드워드 호퍼 전시회 갔다고 사진을 보냈는데 네이버에서 보니까 한국에 전시하고 있더라고. 서울시립미술관에 열리는데 나하고 민정이랑 같이 갔어. 너를 생각하면서 전시회 잘 관람했어. 
다시 한번 생일 축하하고 남은 하루도 즐겁고 행복하게 보내! 나중에 한국 오면 민정이랑 셋이 만나자!
하님이가. "
"이사하는 거 도와주겠다고 했다.
생일을 가족들이랑 보낸다고 했다.","세정이에게,
안녕 세정아! 오늘이 생일이네. 생일 축하해 김세정! 오늘이 특별한 날인 만큼 웃음이 가득한 하루이길 바라.
전에 내가 이사하는 것 도와줘서 고마워. 안 그래도 빨리 이사 가야 했었는데 다행히 네가 있어서 빨리할 수 있었어. 내 짐이 많고 무거워서 도와주느라 진짜 힘들었을 텐데 네가 계속 괜찮다고 흔쾌히 도와줘서 고마워. 너밖에 없다 세정아. 내가 감동을 받아서 고마운 표현으로 카톡 선물 하나 보냈어! 생일 선물 겸 이사하는 거 도와줘서 산 선물인데 편하게 써. 나중에 네가 이사하게 돼서 도움이 필요하면 나한테 얘기해줘. 널 위해서라면 언제든지 달려갈 수 있으니까. 
생일에는 가족들이랑 시간 보내는 것이 최고지. 행복한 시간 보내고 서울로 올라오면 문자 보내 줘. 나도 너의 생일을 축하해 주고 싶단 말이야. 생일 다시 한번 축하해. 사랑해.
하님이가"
"봉사 활동 하면 뿌듯하다고 했다.
봉사 활동 같이 가자고 했다.
","혜인이에게,
혜인이 안녕? 오늘이 생일이네? 생일 진심으로 축하해. 오늘 특별한 날인 만큼 행복한 생일 보내길 바랄게.
혜인아. 너랑 같이 봉사 활동을 한 것이 아직 기억 속 아름다운 추억이 됐어! 처음으로 너랑 봉사 활동을 했는데 네가 왜 봉사 활동을 자주 하는지 알겠더라. 네가 봉사 활동하면 엄청난 자부심이 따라오고 스스로 뿌듯하다고 했었잖아. 나도 그날 너랑 같이 봉사 일을 하니까 뿌듯하고 행복하더라고. 덕분에 그날 하루 종일 되게 기분 좋은 하루를 보냈어. 봉사 자주 하는 네가 참 대견하고 자랑스러워. 봉사는 희생이 아닌 행복이라는 것을 깨닫게 해줘서 고마워. 다음에 다른 봉사 활동 하게 되면 나한테 얘기해줘! 우리 또 같이 봉사 활동하자.다시 한번 생일 축하해. 앞으로 쭉 행복했으면 좋겠어!
하님이가. "
"인턴 때문에 힘들고 인턴 빨리 끝났으면 좋겠다고 했다.
오마카세를 사주겠다고 한다.","혜인이에게,
안녕 강혜인이. 23번째의 생일 진심으로 축하해! 행복하고 알찬 하루를 보내길 바라.
요즘 어떻게 지내? 인턴 때문에 바쁘고 힘들다고 하는데 듣는 내가 마음이 아프고 속상해. 고생이 많다 친구야. 인턴 끝날 날이 얼마 안 남았으니까 조금만 버티자. 안 좋은 일 있거나 힘들면 언제든지 연락해 줘. 얘기할 사람이 필요하면 내가 항상 있다는 것 알았으면 좋겠어. 
저번 강남에 갔을 때 마지막으로 같이 시간을 보냈네. 그때 오마카세 사줘서 고마워. 덕분에 그날 맛있게 먹었어. 다음에 나도 크게 한턱낼게! 다시 한번 생일 축하하고 오늘 하루 잘 보내길 바라고 항상 행복하길 바라!
하님이가."
"공모전 아이디어를 계속 바꾸어야 한다고 했다.
상을 탔다고 말했다.
야외 공연 가고 싶다고 했다.","정아에게,
안녕 김정아? 오늘이 생일이네. 생일 진심으로 축하해 정아야! 오늘 맛있는 것 많이 먹고 행복했으면 좋겠어.
네가 지난 3개월 동안 공모전에 나가려고 아이디어를 매번 바꾸고 하고 방학 때 끝까지 달리고 포기하지 않는 너의 모습을 보니까 진짜 멋있고 대견하다는 생각이 들더라. 그 큰 노력 끝에 결국 상 탄 것 진심으로 축하고 네가 너무 자랑스러워. 
축하 선물로 지난번에 같이 가자고 했던 야외공연 표를 예매해 놓았어! 공모전도 이제 다 끝났고 지금은 방학이니까 우리 실컷 놀자. 너랑 처음으로 공연 가는거라 설레고 기대돼. 우리 그날 좋은 추억 만들고 즐거운 시간 보낼 수 있으면 좋겠다. 다시 한번 생일 축하하고 오늘 하루 잘 보내길 바랄게!
하님이가."
"졸업 시험 때문에 힘들다고 했다.
요즘 많이 피곤하다고 했다","혜인이에게,
안녕 강혜인! 오늘이 생일이네? 생일 진심으로 축하해. 오늘 행복이 가득한 하루이길 바라.
잘 지내고 있어? 네가 요즘 졸업 시험 때문에 걱정하는 거 보면 친구인 나도 마음이 아프더라고. 우리는 같은 과가 아니라서 도울 수 없어서 미안해. 그래도 위로는 해줄 수 있으니까 이야기할 사람 필요하면 언제든지 전화해도 돼. 내가 진심으로 응원하고 들어 줄게. 모든 것이 잘 풀리길 바라 혜인아. 
그리고 네가 요즘 많이 피곤하다고 해서 걱정돼. 내 주변에도 빨리 피곤해지고 지친다는 애들이 많거든. 밥 골고루 잘 챙겨먹어, 알겠지?  내가 챙겨 먹는 비타민 하나 있는데 효과가 좋은 것 같아서 선물로 보냈어. 비타민도 잘 챙겨 먹어. 우리 둘 다 건강 잘 챙기자. 오늘 생일 축하하고 행복한 하루 보내!
하님이가"
"다음 주에 우리 집에서 홈파티를 하기로 했다.
약을 좀 사와달라고 부탁했고 알겠다고 했다. ","수지에게
수지야, 안녕! 오늘 네 생일이네! 생일 축하해. 너랑 알고 지낸지도 벌써 이만큼이나 흘렀네. 내가 지금까지도 너의 생일을 축하해 줄 수 있어서 너무 기뻐. 
저번에 내가 아팠을 때 너한테 약 좀 사 와달라고 부탁해서 네가 약 사 와줬을 때 기억나? 혼자 있을 때 아프니까 많이 서러웠는데 너 덕분에 아픈 거 금방 나았어! 내가 아플 때나 힘들 때 항상 넌 내 곁에 있으면서 많이 도와주는 것 같아. 너무 고마워! 
너한테 편지 쓰다 보니까 우리의 여러 추억들이 스쳐 지나가네. 너랑 함께 한 모든 추억들이 즐거웠지만 특히 우리 집에서 홈파티했었던 게 제일 기억난다. 맛있는 것도 먹고 서로 재밌는 얘기도 해주고 그때 정말 즐거웠잖아. 너랑 있으면 항상 재밌고 즐거운 일만 있는 것 같아. 아마도 네가 주변 사람들을 즐겁게 만들 수 있는 능력이 있나봐! 앞으로도 쭉 나랑 함께 있어줘!
언제나 나에게 좋은 친구가 되어줘서 고마워. 나도 너에게 그런 친구가 될 수 있도록 많이 노력할게. 오늘 행복하게 보내고 생일 축하해!
지연이가"
"졸업 프로젝트 때문에 스트레스 받는다고 했다.
요새 계속 떡볶이가 먹고 싶다고 했다.","주은이에게
주은아, 안녕! 네 생일 정말 축하해!
요새 졸업 프로젝트 때문에 많이 스트레스 받지? 이것저것 해야 할 일도 많고 어려우니까 많이 힘들 만도 해. 나도 네가 스트레스 받는 모습을 보니까 많이 속상하더라.쉽지 않겠지만 중간중간 쉬어가면서, 스트레스 덜 받으면서 졸업 프로젝트했으면 좋겠어. 난 네가 힘들지 않았으면 좋겠거든. 언제든지 힘들면 말해! 같이 놀면서 내가너의 스트레스 다 풀어줄게! 
저번에 네가 계속 떡볶이가 먹고 싶다고 했잖아. 다음에 만나면 같이 떡볶이 먹으러 가자! 떡볶이도 먹고 노래방 가서 노래부르고 카페 가서 후식도 먹으면서 같이 재밌게 노는 거야! 너무 기대된다. 빨리 같이 놀고 싶어. 오늘 생일 너무 축하해. 
나에게 소중한 너의 생일이니만큼 오늘이 너에게 있어 정말 특별한 하루가 되길 기도할게. 항상 너무 고맙고 내가 너 많이 아끼는 거 알지? 행복한 하루 보내!
지연이가"
"신년에 같이 해돋이를 보러 가기로 했다.
생일파티에 초대했다.","소희에게
소희야! 오늘 네 생일이야. 생일 축하해!
우리 같이 신년에 해돋이 보러 간 거 기억나? 그때 새벽에 둘 다 비몽사몽한 상태로 해 뜨는 거 보러 갔잖아. 솔직히 새벽에 잠도 못 자고 해돋이 보려고 나올 땐 정말 가기 싫었는데 너랑 해 뜨는 거 보면서 신년 소원 비니까 그 싫었던 마음이 싹 없어지더라. 붉게 물든 태양을 너랑 소소하게 이야기 나누면서 바라보는 게 뭔가 감동적이었어. 그리고 한 해의 시작을 너와 함께 시작한다는 게 너무 의미 있더라. 나랑 같이 해돋이 보러 가줘서 고마워. 
오늘 네 생일 편지 쓰고 있으니까 내 생일 파티 때 네가 나 생일 축하해준 거 생각난다. 그때 네가 내 생일 파티에 와줘서 얼마나 기뻤는지 몰라. 나는 네가 와준 것만으로도 너무 고마웠는데 그날 너 덕분에 많이 웃었어. 별거 아닌 내 생일을 축하해 줘서 너무 고마워. 너랑 있으면 항상 작은 것들도 행복으로 느껴져서 너무 좋아. 오글거리는 말일 수 있지만 네가 내 소소한 행복인가 봐!
항상 너무 고맙고 오늘 맛있는 거 많이 먹고 행복한 날 되었으면 좋겠다. 생일 축하해!
지연이가"
"크리스마스를 같이 보내기로 했다.
크리스마스 선물 잘 쓰고 있다고 했다.
영화 나 홀로 집에를 보기로 했다. ","다현이에게
다현아 안녕! 오늘이 어떤 날인지 알아? 네 생일이야! 생일 축하해! 오늘 하루 행복하게 보내길 바라.
날씨가 점점 추워지면서 우리가 함께 보낸 크리스마스가 떠오르네. 처음 네 집에서 크리스마스를 보낸거라 정말 좋았는데. 눈이 내리고 날씨가 추웠지만, 그날 너와 보낸 시간은 정말 따뜻했어. 밥 먹으면서 너랑 옛날 얘기하는 것 좋았다. 따뜻한 핫초코를 마시며 크리스마스트리를 열심히 장식하고, 서로 선물을 교환했잖아. 
네가 준 산타 머그컵은 아직 소중하게 간직하고 있어. 네가 준 선물이라서 더욱 소중하고, 겨울에만 사용하려고 해. 선물해 줘서 정말 고맙다 친구야. 겨울이 다가오는데 내가 준 겨울 니트 따뜻하게 입어. 그날 나 홀로 집에 영화 재밌었지?  2편도 함께 보고 싶은데 기회가 되면 꼭 같이 보면 좋겠다.
하님이가"
"속초로 졸업 여행 가기로 했다.
기념품을 잘 산 것 같다고 했다,","다현이에게
안녕 다현아! 나야 하님이. 오늘 2월 25일은 너의 특별한 날, 너의 생일이야. 생일 진심으로 축하해!
너랑 졸업 여행 같이 간 거 너무 즐거웠어. 온화한 날씨의 속초 바다에서 너랑 느긋하게 시간을 보낼 수 있어서 너무 좋았다. 수박 주스를 마시면서 너랑 미래 얘기하니까 진짜 어른이 된 것 같았어. 
미래의 너는 대기업에서 일하고 있으면 좋겠다고 했는데 너의 소원이 현실이 되길 바라. 다현이 화이팅! 
그리고 마지막 날에 네가 기념품을 진짜 많이 샀었잖아. 다른 친구들이랑 가족들을 생각하는 너의 마음이 진짜 이쁘다고 생각했었어. 같이 산 기념품 집에 뒀는데 그걸 볼 때마다 우리가 여행했던 거 생각 나서 너랑 속초에 보낸 날이 그립고 또 너랑 여행 가고 싶더라고. 오늘 맛있는 거 많이 먹고, 생일 축하해 다현아.
하님이가"
"옷을 사러 같이 가주겠다고 했다.
소풍을 가자고 했다.
","다현이에게,
안녕 다현아! 생일 축하해! 오늘이 생일인 만큼 행복한 시간 보내길 바라. 잘 지내고 있어? 
나는 지금 너랑 같이 산 옷을 입고 있어. 전에 가방이랑 옷을 고를 때 도와줘서 고마워. 내가 엄청 우유부단하고 결정하는 데 시간 많이 걸리는데 네가 옆에서 도와주니까 더 빠르게 선택할 수 있었어. 집에 가서 해보니까 더 만족스럽더라. 골라주는 것 도와줘서 고마워!  너도 언제든지 쇼핑하고 싶으면 나한테 말해줘! 너랑 잘 어울리는 거 잘 골라줄게. 
사실 소풍갔을 때 네가 가족문제랑 공부 때문에 스트레스 받는다고 했는데 네가 항상 다른 사람들 앞에 긍정적인 모습만 보여줘서 네가 힘든 줄은 생각도 못 했어. 너랑 매일 보는 친구인 내가 더 신경 써야 하는데 그러지 못해서 미안해. 이제부터 더 신경 써서 챙겨줄게. 생일 다시 한번 축하하고 오늘 하루 정말 행복하게 보내길 바라!
하님이가"
"벚꽃 축제 보러 가기로 했다.
줄 게 있다고 했다.
서점에 가고 싶다고 했다.","다현이에게
안녕 다현아! 오늘은 네가 태어난 날이야! 생일 정말 축하해. 미역국을 챙겨 먹었어? 
오늘 밖을 살짝 봤는데 꽃이 피기 시작하더라고. 너랑 벚꽃축제 갔던 기억이 새록새록 나더라. 밖 공기를 마시면서 너랑 벚꽃 구경을 하니까 기분이 엄청 좋았었어. 산책하면서 서로 어떻게 지냈는지 물어보고 얘기하는 것도 반가웠어. 그때 네가 찍은 벚꽃 사진이 너무 마음에 들어서 프로필 사진으로 해놓았다! 네가 찍어준 내 사진도 마음에 들어. 잘 찍어줘서 고마워.
네가 부산 기념품 줬을 때 부산 가서 나를 생각해 줬다는게 진짜 감동이었어. 가방에 달아 놓았는데 가방을 메고 있을 때마다 네가 떠올라서 좋아. 
지난번에 서점에 가고 싶다고 했잖아. 우리 서점도 가고 근처에서 아이스크림도 먹자. 빨리 만나고 싶어. 생일 축하해 다현아.
하님이가"
"아이돌 콘서트 티켓팅 도와주겠다고 했다.
밥 사줘야된다고 했다.","다현이에게
안녕, 이다현! 생일인데 행복한 시간 보내기를 바랄게. 
몇 달 전에 팬미팅 티켓팅 도와줘서 정말 고마워. 그때 티켓 예매 사이트가 처음이라서 얼마나 많이 검색했는지 몰라. 다행히도 네가 흔쾌히 도와주겠다고 해서 하루 전날에 연습을 많이 했었어.네 덕분에 첫 콘서트와 마지막 콘서트 모두 1층 좌석을 잡아서 하루 종일 기분이 너무 좋았었어! 고마워 다현아. 
다음에 내 도움이 필요하거나 콘서트 같이 갈 사람 필요하면 불러줘! 너랑 시간 같이 보내는거 너무 좋아. 
그리고 티켓팅 성공해서 내가 밥 사줬었잖아. 근처에 작은 식당밖에 없어서 그냥 먹었는데 좀 아쉬움이 드네. 다음에 만나면 내가 고기를 살게. 너랑 함께 있으면 기분이 좋고 즐거워. 항상 고맙고 우리 빨리 만나자. 생일 축하해.
하님이가."
"보드게임 카페 가고 싶다고 했다.
요즘 계속 우울하다고 했다.","다현이에게
다현아! 하님이야. 생일 진심으로 축하해. 요즘 어떻게 지내? 
네가 요즘 우울하다고 해서 정말 걱정돼. 너의 친구로서 네가 어려운 감정을 안고 있다는 걸 알고, 네 곁에 있어 주지 못해서 미안해. 내가 도울 수 있을 만큼 도울 거니까 언제든지 전화해도 좋아. 어떤 얘기든지 나에게 털어놓아도 돼. 네가 힘들어하는 걸 혼자 감당하지 않으면 좋겠어. 서로 힘을 보태며 어려운 시간을 이겨내자. 
그리고 네가 개강하기 전에 보드게임 카페 같이 가자고 했었잖아, 곧 가자! 나도 오랜만에 얼굴 보고 너랑 재미있게 놀고 싶어서 기대돼. 걱정과 스트레스 다 잊고 즐거운 시간을 보내자. 개강할 날이 얼마 남지 않았는데 바빠지기 전에 너랑 알차게 놀고 싶어. 오늘 행복한 생일 보내길 바라. 빨리 만나고 싶어.
하님이가"
